Author,Rating,Reviews,Pages,Price
Gardner Dozois,3.0,1,767.0,995.1700000000001
Gardner Dozois,4.0,6,706.0,1244.17
"I.G. Harding, fantasy books",2.0,1,49.0,580.1700000000001
Lisa Regan,5.0,1,374.0,414.17
Lisa Regan,5.0,1,424.0,414.17
M.M. Chouinard,5.0,1,343.0,248.17000000000002
Rebecca Griffiths,5.0,3,357.0,331.17
Janet Evanovich,3.0,1,278.0,621.6700000000001
Steve Sullivan,2.0,1,1027.0,19131.5
Robert C. Seacord,4.0,1,1040.0,5145.17
"Cathy O'Neil, Rachel Schutt",4.0,1,320.0,3236.17
Joel Grus,5.0,1,387.0,4232.17
EMC Education Services,4.0,1,432.0,4150.0
Matt Taddy,5.0,1,350.0,3286.8
Ankur A. Patel,2.0,1,309.0,5643.169999999999
"Drew Conway, John Myles White",4.5,7,323.0,3568.17
Rossella Rago,3.0,1,251.0,2490.0
"B. Prideaux, Gianna Moscardo, Eric Laws",5.0,2,357.0,12450.0
Daphna Erdinast-Vulcan,3.0,1,273.0,2324.0
Laura C. Wilson,1.0,2,432.0,14525.0
Claire Keegan,5.0,1,79.0,1660.0
Susan Mallery,5.0,1,451.0,1617.6699999999998
William Middleton,5.0,1,564.0,1991.1699999999998
"Brian Herbert, Kevin J. Anderson",3.5,3,740.0,829.1700000000001
Chris Broad,5.0,2,252.0,1161.17
Rebecca Yarros,5.0,2,420.0,1244.17
Alex Hay,4.0,1,420.0,1327.17
Bob Dylan,4.0,3,166.0,1161.17
Geraldine Brooks,5.0,1,321.0,165.17
Yevgeny Zamyatin,4.0,3,258.0,414.17
S. Usher Evans,5.0,1,252.0,331.17
John Kenneth Muir,3.0,2,845.0,3153.17
"Cricket Liu, Paul Albitz",3.5,7,644.0,3319.17
Jonathan C. Smith,5.0,2,287.0,7719.0
Patricia O'Brien Mathews,5.0,1,274.0,3652.0
S. Usher Evans,4.0,1,270.0,331.17
Rachel Neumeier,5.0,1,401.0,746.1700000000001
Katherine Applegate,5.0,2,431.0,829.1700000000001
Hirohiko Araki,5.0,1,186.0,1327.17
James Patterson,5.0,2,215.0,746.1700000000001
James Patterson,5.0,1,218.0,746.1700000000001
Mark Twain,3.0,4,775.0,2236.85
Alan Watts,3.0,1,402.0,1244.17
Anchee Min,5.0,1,321.0,912.1700000000001
Gwynne Dyer,5.0,2,493.0,1161.17
Martin Bernal,5.0,2,612.0,2485.85
Russ Shafer-Landau,5.0,1,817.0,5478.0
Peter L. Berger,5.0,2,243.0,1493.1699999999998
Bruce Walker,4.0,1,50.0,394.25
David S. Rose,5.0,1,320.0,1660.0
Douglas Crockford,4.5,37,174.0,1991.1699999999998
John Resig,4.0,20,363.0,3734.17
Jaime Pillora,4.5,3,192.0,1908.1699999999998
"Stanley Bileschi, Eric Nielsen, Shanqing Cai",5.0,1,868.0,3070.17
Herbert Schildt,4.0,3,546.0,3735.0
Bjarne Stroustrup,4.0,1,1366.0,6307.169999999999
Harry. H. Chaudhary.,5.0,1,259.0,497.17
William Sherif,4.5,2,342.0,2406.17
"Stanley B. Lippman, Josée Lajoie, Barbara E. Moo",4.0,2,3073.0,4813.17
Lalit Mali,1.0,1,559.0,1162.0
Gerard O’Regan,4.0,1,287.0,2489.17
Jason Krol,5.0,1,433.0,2406.17
Bass Jobsen,4.0,1,298.0,1659.1699999999998
"Pagani, Margherita",5.0,2,1637.0,75945.0
Amos Q. Haviv,5.0,2,549.0,2738.17
Ayush Mauryavanshi,5.0,1,105.0,73.87
Fu Cheng,5.0,1,550.0,3734.17
"R.S. Michalski, J.G. Carbonell, T.M. Mitchell",2.0,1,564.0,10707.0
Kirill Kolodiazhnyi,5.0,1,515.0,3983.17
"Amit Sinha, Ednilson Bernardes, Rafael Calderon, Thorsten Wuest",5.0,1,320.0,2091.6
Jojo Moolayil,5.0,1,192.0,3734.17
"Alexey Grigorev, Rajalingappaa Shanmugamani, Alberto Boschetti, Luca Massaron, Abhishek Thakur",1.0,1,310.0,2987.17
Roger A. Grimes,4.5,4,324.0,1328.0
"Conteh, Nabie Y.",5.0,1,186.0,19920.0
Ben Buchanan,5.0,2,300.0,2157.17
"Borko Furht, Armando Escalante",5.0,1,638.0,15687.0
"John W. Rittinghouse, James F. Ransome",3.0,4,341.0,4809.85
"Nikos Antonopoulos, Lee Gillam",3.0,1,386.0,14027.0
"Naresh Kumar Sehgal, Pramod Chandra P. Bhatt",5.0,1,284.0,9047.0
Tony Hsiang-Chih Hsu,5.0,1,341.0,3319.17
"Peter D. Lax, Maria Shea Terrell",5.0,1,509.0,4979.17
Silvanus Phillips Thompson,4.0,1,233.0,829.1700000000001
